,label
0,8
1,1
2,9
3,9
4,8
5,6
6,2
7,2
8,7
9,1
10,6
11,3
12,1
13,2
14,7
15,4
16,3
17,3
18,6
19,4
20,9
21,5
22,2
23,6
24,0
25,0
26,0
27,8
28,6
29,3
30,6
31,6
32,1
33,9
34,8
35,6
36,7
37,3
38,6
39,1
40,9
41,7
42,9
43,6
44,8
45,3
46,4
47,2
48,7
49,8
50,4
51,3
52,3
53,7
54,1
55,2
56,6
57,2
58,9
59,6
60,4
61,0
62,4
63,8
64,8
65,5
66,4
67,3
68,9
69,3
70,9
71,4
72,2
73,8
74,1
75,6
76,3
77,9
78,0
79,3
80,1
81,7
82,6
83,7
84,6
85,1
86,9
87,5
88,3
89,6
90,9
91,3
92,7
93,6
94,6
95,5
96,2
97,9
98,3
99,5
100,4
101,6
102,0
103,4
104,1
105,1
106,1
107,6
108,8
109,9
110,1
111,1
112,4
113,7
114,1
115,0
116,3
117,6
118,9
119,8
120,1
121,3
122,7
123,3
124,9
125,6
126,5
127,7
128,1
129,0
130,6
131,5
132,6
133,4
134,2
135,0
136,9
137,9
138,9
139,7
140,2
141,3
142,6
143,4
144,0
145,9
146,9
147,1
148,7
149,7
150,1
151,6
152,8
153,1
154,7
155,6
156,6
157,5
158,7
159,9
160,9
161,0
162,7
163,9
164,5
165,1
166,3
167,6
168,5
169,8
170,7
171,1
172,6
173,7
174,0
175,9
176,3
177,0
178,8
179,6
180,0
181,1
182,9
183,7
184,2
185,3
186,7
187,2
188,6
189,6
190,4
191,8
192,9
193,6
194,0
195,7
196,4
197,5
198,5
199,6
200,3
201,1
202,5
203,3
204,7
205,9
206,9
207,0
208,7
209,4
210,7
211,5
212,1
213,1
214,0
215,2
216,5
217,3
218,8
219,1
220,3
221,9
222,3
223,6
224,7
225,3
226,1
227,3
228,4
229,4
230,0
231,2
232,7
233,1
234,4
235,2
236,1
237,0
238,5
239,3
240,9
241,1
242,7
243,6
244,5
245,1
246,0
247,5
248,7
249,9
250,7
251,1
252,7
253,7
254,7
255,2
256,2
257,3
258,4
259,5
260,2
261,6
262,4
263,1
264,8
265,8
266,5
267,5
268,5
269,2
270,9
271,6
272,6
273,6
274,1
275,0
276,6
277,9
278,1
279,9
280,9
281,0
282,8
283,3
284,9
285,7
286,7
287,2
288,3
289,1
290,8
291,2
292,6
293,1
294,5
295,1
296,0
297,0
298,5
299,3
300,5
301,6
302,9
303,6
304,7
305,1
306,1
307,3
308,7
309,3
310,2
311,5
312,1
313,8
314,3
315,1
316,9
317,1
318,2
319,9
320,3
321,2
322,7
323,8
324,2
325,7
326,0
327,3
328,9
329,4
330,0
331,1
332,6
333,9
334,2
335,0
336,2
337,3
338,3
339,0
340,3
341,3
342,0
343,1
344,0
345,0
346,6
347,8
348,2
349,4
350,7
351,1
352,8
353,7
354,0
355,5
356,6
357,1
358,5
359,7
360,3
361,9
362,9
363,3
364,5
365,3
366,8
367,9
368,2
369,1
370,0
371,7
372,7
373,4
374,0
375,2
376,0
377,7
378,0
379,8
380,7
381,0
382,0
383,4
384,8
385,8
386,7
387,2
388,1
389,7
390,0
391,7
392,6
393,1
394,4
395,7
396,6
397,2
398,1
399,2
400,4
401,6
402,1
403,1
404,6
405,6
406,0
407,2
408,2
409,9
410,3
411,1
412,2
413,4
414,1
415,2
416,3
417,9
418,7
419,4
420,1
421,6
422,0
423,9
424,0
425,3
426,2
427,3
428,0
429,7
430,9
431,8
432,6
433,8
434,4
435,1
436,4
437,5
438,8
439,4
440,0
441,9
442,6
443,6
444,3
445,5
446,3
447,7
448,4
449,5
450,5
451,3
452,1
453,8
454,7
455,7
456,4
457,8
458,4
459,8
460,6
461,3
462,6
463,0
464,6
465,8
466,8
467,8
468,4
469,0
470,0
471,7
472,8
473,9
474,6
475,7
476,3
477,1
478,5
479,8
480,1
481,3
482,0
483,1
484,3
485,1
486,1
487,6
488,4
489,2
490,1
491,7
492,2
493,8
494,2
495,6
496,0
497,2
498,0
499,2
500,6
501,1
502,2
503,2
504,7
505,6
506,7
507,0
508,6
509,8
510,2
511,4
512,7
513,6
514,3
515,0
516,3
517,0
518,3
519,3
520,5
521,5
522,2
523,4
524,7
525,7
526,3
527,8
528,3
529,5
530,1
531,5
532,2
533,9
534,7
535,2
536,6
537,3
538,0
539,4
540,8
541,2
542,1
543,9
544,0
545,1
546,4
547,1
548,8
549,9
550,2
551,7
552,9
553,0
554,2
555,4
556,1
557,2
558,9
559,8
560,1
561,3
562,7
563,3
564,8
565,2
566,2
567,1
568,6
569,6
570,4
571,4
572,0
573,9
574,1
575,2
576,5
577,9
578,2
579,3
580,3
581,0
582,3
583,2
584,8
585,4
586,3
587,2
588,3
589,6
590,1
591,0
592,0
593,5
594,8
595,1
596,1
597,0
598,4
599,5
600,8
601,3
602,6
603,7
604,2
605,7
606,0
607,6
608,2
609,2
610,9
611,0
612,4
613,4
614,1
615,9
616,9
617,7
618,5
619,1
620,2
621,6
622,3
623,4
624,2
625,0
626,1
627,5
628,3
629,1
630,6
631,5
632,6
